images,label
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part1/Gyrodinium/SPCP2-1491845959-081734-000-1952-1116-128-88.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part2/Gyrodinium/SPCP2-1562689454-072152-000-808-1460-88-120.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part1/Gyrodinium/SPCP2-1491845274-076488-001-2912-1512-152-96.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part1/Gyrodinium/SPCP2-1491822371-015832-002-1796-1400-120-96.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part1/Gyrodinium/SPCP2-1491822009-013054-000-2276-2564-104-139.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part1/Gyrodinium/SPCP2-1491823372-023558-003-548-1000-72-128.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part1/Gyrodinium/SPCP2-1492449388-080451-000-2556-576-104-144.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part2/Gyrodinium/SPCP2-1562729075-043957-001-724-140-104-136.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part1/Gyrodinium/SPCP2-1491824018-028542-002-2928-684-96-152.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part1/Gyrodinium/SPCP2-1491845160-075613-001-2368-192-112-112.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part1/Gyrodinium/SPCP2-1491844266-068802-004-52-1076-112-144.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part1/Gyrodinium/SPCP2-1491822040-013292-003-2680-456-72-120.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part1/Gyrodinium/SPCP2-1491845971-081823-001-1924-1356-96-64.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part1/Gyrodinium/SPCP2-1491822711-018463-004-88-488-168-88.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part2/Gyrodinium/SPCP2-1562717762-115493-000-1144-292-56-152.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part1/Gyrodinium/SPCP2-1492450480-088820-000-2200-880-104-96.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part1/Gyrodinium/SPCP2-1492449540-081616-000-1460-1036-48-80.jpg,Gyrodinium
/data6/phytoplankton-db/hab_in_situ/images/workshop2019_v2_part2/Gyrodinium/SPCP2-1559064567-957373-001-1652-384-136-64.jpg,Gyrodinium
